NR	R	0	1	train_cohort	test_cohort	best_epoch	n_trainable_params
1	0	0.93973625	0.06026378	Leave_Kim_out	Kim	19	2760
1	0	0.928675	0.07132504	Leave_Kim_out	Kim	19	2760
1	0	0.8970749	0.10292509	Leave_Kim_out	Kim	19	2760
0	1	0.78917044	0.21082956	Leave_Kim_out	Kim	19	2760
1	0	0.7814137	0.21858634	Leave_Kim_out	Kim	19	2760
0	1	0.33543247	0.6645676	Leave_Kim_out	Kim	19	2760
0	1	0.10985328	0.8901467	Leave_Kim_out	Kim	19	2760
0	1	0.19042253	0.80957747	Leave_Kim_out	Kim	19	2760
1	0	0.96045464	0.039545365	Leave_Kim_out	Kim	19	2760
1	0	0.82217187	0.1778282	Leave_Kim_out	Kim	19	2760
1	0	0.81240326	0.18759672	Leave_Kim_out	Kim	19	2760
1	0	0.97647333	0.023526667	Leave_Kim_out	Kim	19	2760
1	0	0.6713881	0.3286119	Leave_Kim_out	Kim	19	2760
1	0	0.9775109	0.022489076	Leave_Kim_out	Kim	19	2760
0	1	0.29384527	0.70615476	Leave_Kim_out	Kim	19	2760
1	0	0.35599917	0.6440008	Leave_Kim_out	Kim	19	2760
1	0	0.95317143	0.04682856	Leave_Kim_out	Kim	19	2760
1	0	0.81531817	0.18468186	Leave_Kim_out	Kim	19	2760
1	0	0.72093576	0.27906424	Leave_Kim_out	Kim	19	2760
0	1	0.5037017	0.4962983	Leave_Kim_out	Kim	19	2760
1	0	0.9452012	0.05479882	Leave_Kim_out	Kim	19	2760
1	0	0.9769025	0.023097461	Leave_Kim_out	Kim	19	2760
1	0	0.95213336	0.047866616	Leave_Kim_out	Kim	19	2760
1	0	0.9720276	0.027972402	Leave_Kim_out	Kim	19	2760
1	0	0.9521555	0.047844477	Leave_Kim_out	Kim	19	2760
0	1	0.61154306	0.388457	Leave_Kim_out	Kim	19	2760
0	1	0.75510883	0.24489121	Leave_Kim_out	Kim	19	2760
1	0	0.7977435	0.20225655	Leave_Kim_out	Kim	19	2760
0	1	0.5428045	0.4571955	Leave_Kim_out	Kim	19	2760
1	0	0.7493354	0.2506646	Leave_Kim_out	Kim	19	2760
1	0	0.70595336	0.29404664	Leave_Kim_out	Kim	19	2760
1	0	0.81230897	0.18769103	Leave_Kim_out	Kim	19	2760
1	0	0.9289315	0.07106849	Leave_Kim_out	Kim	19	2760
1	0	0.968591	0.031409074	Leave_Kim_out	Kim	19	2760
1	0	0.9757592	0.024240788	Leave_Kim_out	Kim	19	2760
1	0	0.5742221	0.4257779	Leave_Kim_out	Kim	19	2760
0	1	0.49970782	0.5002922	Leave_Kim_out	Kim	19	2760
1	0	0.9181195	0.081880465	Leave_Kim_out	Kim	19	2760
1	0	0.977131	0.022869043	Leave_Kim_out	Kim	19	2760
0	1	0.20786756	0.79213244	Leave_Kim_out	Kim	19	2760
1	0	0.86131644	0.13868353	Leave_Kim_out	Kim	19	2760
1	0	0.97454053	0.025459481	Leave_Kim_out	Kim	19	2760
1	0	0.725453	0.27454692	Leave_Kim_out	Kim	19	2760
0	1	0.61861324	0.38138682	Leave_Kim_out	Kim	19	2760
1	0	0.9101202	0.08987984	Leave_Kim_out	Kim	19	2760
1	0	0.32930508	0.6706949	Leave_Gide_out	Gide	17	2760
1	0	0.83870304	0.16129692	Leave_Gide_out	Gide	17	2760
1	0	0.2659961	0.73400384	Leave_Gide_out	Gide	17	2760
0	1	0.19363065	0.80636936	Leave_Gide_out	Gide	17	2760
1	0	0.5210064	0.47899365	Leave_Gide_out	Gide	17	2760
1	0	0.5768401	0.42315996	Leave_Gide_out	Gide	17	2760
1	0	0.09743756	0.9025624	Leave_Gide_out	Gide	17	2760
0	1	0.16779682	0.83220315	Leave_Gide_out	Gide	17	2760
1	0	0.588079	0.41192096	Leave_Gide_out	Gide	17	2760
1	0	0.55147207	0.44852793	Leave_Gide_out	Gide	17	2760
0	1	0.27876076	0.7212392	Leave_Gide_out	Gide	17	2760
1	0	0.3230073	0.67699265	Leave_Gide_out	Gide	17	2760
1	0	0.077843025	0.92215693	Leave_Gide_out	Gide	17	2760
0	1	0.24532284	0.7546772	Leave_Gide_out	Gide	17	2760
0	1	0.06518131	0.93481874	Leave_Gide_out	Gide	17	2760
0	1	0.27547422	0.72452575	Leave_Gide_out	Gide	17	2760
1	0	0.87457573	0.12542424	Leave_Gide_out	Gide	17	2760
0	1	0.18800731	0.8119927	Leave_Gide_out	Gide	17	2760
0	1	0.16618931	0.8338107	Leave_Gide_out	Gide	17	2760
0	1	0.01652768	0.98347235	Leave_Gide_out	Gide	17	2760
0	1	0.32104987	0.67895013	Leave_Gide_out	Gide	17	2760
0	1	0.12457787	0.8754221	Leave_Gide_out	Gide	17	2760
0	1	0.13271812	0.8672819	Leave_Gide_out	Gide	17	2760
0	1	0.097769655	0.9022304	Leave_Gide_out	Gide	17	2760
0	1	0.15054946	0.8494506	Leave_Gide_out	Gide	17	2760
0	1	0.7502117	0.24978824	Leave_Gide_out	Gide	17	2760
0	1	0.34479997	0.65520006	Leave_Gide_out	Gide	17	2760
0	1	0.84543014	0.15456986	Leave_Gide_out	Gide	17	2760
0	1	0.19293247	0.8070675	Leave_Gide_out	Gide	17	2760
0	1	0.024553083	0.9754469	Leave_Gide_out	Gide	17	2760
0	1	0.20274183	0.79725814	Leave_Gide_out	Gide	17	2760
0	1	0.17240323	0.8275967	Leave_Gide_out	Gide	17	2760
1	0	0.7691635	0.23083654	Leave_Gide_out	Gide	17	2760
1	0	0.8470738	0.1529262	Leave_Gide_out	Gide	17	2760
1	0	0.23828888	0.7617111	Leave_Gide_out	Gide	17	2760
1	0	0.34329718	0.6567029	Leave_Gide_out	Gide	17	2760
1	0	0.1822359	0.8177641	Leave_Gide_out	Gide	17	2760
1	0	0.6685267	0.33147323	Leave_Gide_out	Gide	17	2760
1	0	0.21167119	0.7883288	Leave_Gide_out	Gide	17	2760
1	0	0.38552424	0.6144758	Leave_Gide_out	Gide	17	2760
1	0	0.61841285	0.38158712	Leave_Gide_out	Gide	17	2760
1	0	0.5608322	0.43916783	Leave_Gide_out	Gide	17	2760
1	0	0.9111402	0.088859834	Leave_Gide_out	Gide	17	2760
1	0	0.7998015	0.20019843	Leave_Gide_out	Gide	17	2760
1	0	0.5382606	0.46173942	Leave_Gide_out	Gide	17	2760
1	0	0.84150934	0.15849061	Leave_Gide_out	Gide	17	2760
1	0	0.78285366	0.21714637	Leave_Gide_out	Gide	17	2760
1	0	0.5732036	0.42679638	Leave_Gide_out	Gide	17	2760
1	0	0.8298967	0.17010333	Leave_Gide_out	Gide	17	2760
1	0	0.860936	0.13906406	Leave_Gide_out	Gide	17	2760
1	0	0.8837547	0.1162454	Leave_Gide_out	Gide	17	2760
1	0	0.6547056	0.34529445	Leave_Gide_out	Gide	17	2760
