	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.45857988165680474	0.30346881316827823	0.3428571428571428	0.41025641025641024	-0.14625448482542613	CAF	0.1
1	Leave_Choueiri_out	Choueiri	0.46153846153846145	0.17450396825396824	0.2222222222222222	0.5625	-0.041344911529736156	CAF	0.1
2	Leave_Gide_out	Gide	0.5128787878787879	0.5630006913594986	0.5070422535211268	0.5205479452054794	0.05644679160957225	CAF	0.1
3	Leave_Hugo_out	Hugo	0.7916666666666667	0.8131092984365872	0.6666666666666666	0.6538461538461539	0.3086066999241838	CAF	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5518542199488491	0.24466568517365261	0.3904761904761905	0.5704697986577181	0.13764304752572437	CAF	0.1
5	Leave_IMmotion150_out	IMmotion150	0.5813746438746439	0.3335632112363577	0.45528455284552843	0.593939393939394	0.1656665147579944	CAF	0.1
6	Leave_Kim_out	Kim	0.7171717171717171	0.6177596502104107	0.4444444444444444	0.4444444444444444	0.13636363636363635	CAF	0.1
7	Leave_Liu_out	Liu	0.45713229859571325	0.37649039570561305	0.37894736842105264	0.4485981308411215	-0.10348890146097453	CAF	0.1
8	Leave_MGH_out	MGH	0.5265151515151516	0.47586505037030813	0.41379310344827586	0.5	0.0	CAF	0.1
9	Leave_Miao_out	Miao	0.26666666666666666	0.19686660561660563	0.15384615384615385	0.35294117647058826	-0.34993385618385614	CAF	0.1
10	Leave_Riaz_out	Riaz	0.5097560975609756	0.27563657718624346	0.3157894736842105	0.49019607843137253	0.05059859828854292	CAF	0.1
11	Leave_Rose_out	Rose	0.639554794520548	0.272197534479505	0.3278688524590164	0.5393258426966292	0.111787927568076	CAF	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.5666118421052633	0.453151360572129	0.44705882352941173	0.5392156862745098	0.060622177096335134	CAF	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.573529411764706	0.3482432863189442	0.380952380952381	0.48	-0.027461751819054487	CAF	0.1
14	Leave_Snyder_out	Snyder	0.5816326530612245	0.3412656554463277	0.375	0.5238095238095238	0.0	CAF	0.1
15	Leave_Zhao_out	Zhao	0.5324675324675324	0.5348333080360822	0.4799999999999999	0.48	-0.025974025974025976	CAF	0.1
