	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6627218934911243	0.43739257798379017	0.4827586206896552	0.6153846153846154	0.18430244519362143	CKS	0.1
1	Leave_Choueiri_out	Choueiri	0.33333333333333326	0.13213453213453213	0.2	0.5	-0.10087125544480041	CKS	0.1
2	Leave_Gide_out	Gide	0.8151515151515151	0.8506796484608363	0.7397260273972603	0.7397260273972602	0.49318181818181817	CKS	0.1
3	Leave_Hugo_out	Hugo	0.4464285714285714	0.5364894996806977	0.4615384615384615	0.46153846153846156	-0.07142857142857142	CKS	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5712915601023018	0.30533769867755506	0.3577981651376147	0.5302013422818792	0.07631409086469829	CKS	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6504629629629629	0.393419214954637	0.5112781954887219	0.6060606060606061	0.24758448441507178	CKS	0.1
6	Leave_Kim_out	Kim	0.8055555555555555	0.6692514737154831	0.5806451612903226	0.7111111111111111	0.400186283454157	CKS	0.1
7	Leave_Liu_out	Liu	0.5591278640059129	0.4690762304511529	0.4888888888888889	0.5700934579439252	0.12440652582376842	CKS	0.1
8	Leave_MGH_out	MGH	0.46590909090909083	0.41845052989585924	0.34782608695652173	0.5588235294117647	0.015477391468340885	CKS	0.1
9	Leave_Miao_out	Miao	0.43333333333333335	0.23960039960039958	0.2857142857142857	0.4117647058823529	-0.16735967034880075	CKS	0.1
10	Leave_Riaz_out	Riaz	0.6439024390243903	0.33326664991734467	0.3888888888888889	0.5686274509803921	0.18789841972481947	CKS	0.1
11	Leave_Rose_out	Rose	0.6335616438356164	0.22797461695140514	0.4	0.6292134831460674	0.23522833036070553	CKS	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6101973684210527	0.5103780212094062	0.5057471264367815	0.5784313725490197	0.1520007051855768	CKS	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.4632352941176471	0.2938039397117629	0.36363636363636365	0.44	-0.08291849892341732	CKS	0.1
14	Leave_Snyder_out	Snyder	0.6428571428571428	0.4028629866865161	0.47058823529411764	0.5714285714285714	0.13483997249264842	CKS	0.1
15	Leave_Zhao_out	Zhao	0.45454545454545453	0.4594011056495454	0.43478260869565216	0.48	-0.045162230233094555	CKS	0.1
