	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.7041420118343196	0.45578924579132024	0.46153846153846156	0.6410256410256411	0.19230769230769232	CTLA4	0.1
1	Leave_Choueiri_out	Choueiri	0.717948717948718	0.26011904761904764	0.0	0.6875	-0.18156825980064073	CTLA4	0.1
2	Leave_Gide_out	Gide	0.6962121212121212	0.7181432847492443	0.37037037037037035	0.5342465753424658	0.16280657202892762	CTLA4	0.1
3	Leave_Hugo_out	Hugo	0.3571428571428571	0.4520421321435926	0.43478260869565216	0.5	0.02494937295217066	CTLA4	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5164322250639386	0.23018505553388563	0.3484320557491289	0.3724832214765101	0.0004863355420688536	CTLA4	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6381766381766382	0.37468159206338264	0.5068493150684932	0.5636363636363636	0.2307141050267971	CTLA4	0.1
6	Leave_Kim_out	Kim	0.6565656565656565	0.3459863752248608	0.4166666666666667	0.6888888888888889	0.20454545454545456	CTLA4	0.1
7	Leave_Liu_out	Liu	0.5332594235033259	0.4941691516603465	0.32727272727272727	0.6542056074766355	0.2072431635229274	CTLA4	0.1
8	Leave_MGH_out	MGH	0.48863636363636365	0.3597326197477346	0.14285714285714285	0.6470588235294118	0.07693218186208295	CTLA4	0.1
9	Leave_Miao_out	Miao	0.5833333333333333	0.3011660561660562	0.5000000000000001	0.5294117647058824	0.20658356100321165	CTLA4	0.1
10	Leave_Riaz_out	Riaz	0.7280487804878049	0.34295224927577866	0.48	0.7450980392156863	0.33153989079293594	CTLA4	0.1
11	Leave_Rose_out	Rose	0.529109589041096	0.24580372782287566	0.275	0.34831460674157305	-0.03291782264891172	CTLA4	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6348684210526315	0.4962943447717439	0.5686274509803922	0.5686274509803921	0.21628289473684212	CTLA4	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.4375	0.26872099756968176	0.3157894736842105	0.48	-0.0898283738337021	CTLA4	0.1
14	Leave_Snyder_out	Snyder	0.48469387755102045	0.31939744429240224	0.4210526315789474	0.47619047619047616	0.0	CTLA4	0.1
15	Leave_Zhao_out	Zhao	0.5324675324675325	0.43224775294558637	0.0	0.56	0.0	CTLA4	0.1
