	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6775147928994083	0.44335761765167303	0.5945945945945945	0.6153846153846154	0.33541019662496846	GEP	0.1
1	Leave_Choueiri_out	Choueiri	0.641025641025641	0.2287878787878788	0.3157894736842105	0.1875	0.0	GEP	0.1
2	Leave_Gide_out	Gide	0.8303030303030302	0.8458734165201974	0.7906976744186046	0.7534246575342466	0.5014033884280171	GEP	0.1
3	Leave_Hugo_out	Hugo	0.45238095238095244	0.4815257444344228	0.6470588235294117	0.5384615384615384	0.042257712736425826	GEP	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5652813299232736	0.28735791216059725	0.3636363636363637	0.6476510067114094	0.13423177625702207	GEP	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6850071225071225	0.4476244512144518	0.5028571428571429	0.4727272727272727	0.223586600064101	GEP	0.1
6	Leave_Kim_out	Kim	0.8232323232323232	0.7166611420422397	0.43999999999999995	0.37777777777777777	0.12016450333006204	GEP	0.1
7	Leave_Liu_out	Liu	0.5354767184035477	0.4445619064572298	0.45161290322580644	0.5233644859813084	0.041338139610378064	GEP	0.1
8	Leave_MGH_out	MGH	0.6439393939393939	0.5732956728376987	0.46153846153846156	0.38235294117647056	-0.08058229640253803	GEP	0.1
9	Leave_Miao_out	Miao	0.5166666666666666	0.2783241758241758	0.47619047619047616	0.35294117647058826	0.1613743060919757	GEP	0.1
10	Leave_Riaz_out	Riaz	0.6439024390243901	0.44728582290033747	0.30434782608695654	0.37254901960784315	-0.0063757671306333835	GEP	0.1
11	Leave_Rose_out	Rose	0.6224315068493151	0.2560567119052158	0.39024390243902435	0.7191011235955056	0.22823023703245462	GEP	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6480263157894737	0.5444060747088393	0.5499999999999999	0.47058823529411764	0.12518038973547757	GEP	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.39705882352941174	0.2768499590131455	0.35714285714285715	0.28	-0.3001225239993905	GEP	0.1
14	Leave_Snyder_out	Snyder	0.4795918367346939	0.3262379951980792	0.375	0.5238095238095238	0.0	GEP	0.1
15	Leave_Zhao_out	Zhao	0.6493506493506493	0.678375896172339	0.5714285714285713	0.64	0.2631806779839076	GEP	0.1
