	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6834319526627219	0.44030667171151855	0.5	0.6410256410256411	0.223606797749979	ICA	0.1
1	Leave_Choueiri_out	Choueiri	0.6923076923076924	0.24067460317460318	0.4	0.625	0.2219167619785609	ICA	0.1
2	Leave_Gide_out	Gide	0.8121212121212121	0.8529153438940268	0.7142857142857143	0.726027397260274	0.47895884361635715	ICA	0.1
3	Leave_Hugo_out	Hugo	0.36904761904761907	0.4555474819746593	0.3703703703703704	0.34615384615384615	-0.3086066999241838	ICA	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5714194373401534	0.27398647254131026	0.35071090047393366	0.540268456375839	0.06992922933338429	ICA	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6948005698005699	0.45049758785104166	0.5573770491803279	0.6727272727272727	0.33465341783677205	ICA	0.1
6	Leave_Kim_out	Kim	0.7348484848484849	0.6018607237864719	0.4705882352941177	0.6	0.21446102713439583	ICA	0.1
7	Leave_Liu_out	Liu	0.558388765705839	0.4779618287447229	0.44943820224719094	0.5420560747663551	0.06213237092279465	ICA	0.1
8	Leave_MGH_out	MGH	0.49242424242424243	0.45652508226760646	0.4615384615384615	0.5882352941176471	0.13241022442571243	ICA	0.1
9	Leave_Miao_out	Miao	0.4333333333333333	0.2402930402930403	0.3076923076923077	0.47058823529411764	-0.09128709291752769	ICA	0.1
10	Leave_Riaz_out	Riaz	0.6341463414634146	0.4377696999681251	0.35294117647058826	0.5686274509803921	0.12804555422442265	ICA	0.1
11	Leave_Rose_out	Rose	0.5873287671232877	0.24056339518431566	0.32727272727272727	0.5842696629213483	0.11728285767280247	ICA	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.5941611842105263	0.45180399130725785	0.5227272727272727	0.5882352941176471	0.17736437767949806	ICA	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.44852941176470584	0.3090056322872399	0.4210526315789474	0.56	0.08291849892341732	ICA	0.1
14	Leave_Snyder_out	Snyder	0.7551020408163265	0.638728314292224	0.631578947368421	0.6666666666666666	0.408248290463863	ICA	0.1
15	Leave_Zhao_out	Zhao	0.47402597402597396	0.4936736035155007	0.5217391304347826	0.56	0.11613144917081457	ICA	0.1
