	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6863905325443788	0.46046939013329824	0.3636363636363637	0.6410256410256411	0.12909944487358055	IFNG	0.1
1	Leave_Choueiri_out	Choueiri	0.7692307692307692	0.30000000000000004	0.4	0.4375	0.2773500981126145	IFNG	0.1
2	Leave_Gide_out	Gide	0.7977272727272726	0.8283290035982639	0.6562500000000001	0.6986301369863014	0.4599006204659973	IFNG	0.1
3	Leave_Hugo_out	Hugo	0.4464285714285714	0.5007141597324255	0.5517241379310344	0.5	-0.012012499502607453	IFNG	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5484654731457801	0.2584739868491845	0.38095238095238093	0.30201342281879195	0.07562222539134522	IFNG	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6737891737891738	0.40277816262191335	0.4646464646464646	0.3575757575757576	0.10971343143406388	IFNG	0.1
6	Leave_Kim_out	Kim	0.8055555555555555	0.627120666040977	0.4583333333333333	0.4222222222222222	0.17588161767036212	IFNG	0.1
7	Leave_Liu_out	Liu	0.524759793052476	0.44272803123932214	0.125	0.6074766355140186	0.02470392731769933	IFNG	0.1
8	Leave_MGH_out	MGH	0.4962121212121212	0.46244102320362557	0.15384615384615385	0.6764705882352942	0.23570226039551584	IFNG	0.1
9	Leave_Miao_out	Miao	0.55	0.2932800532800533	0.47619047619047616	0.35294117647058826	0.1613743060919757	IFNG	0.1
10	Leave_Riaz_out	Riaz	0.6463414634146342	0.4812181906063393	0.3111111111111111	0.39215686274509803	0.014608717744769437	IFNG	0.1
11	Leave_Rose_out	Rose	0.610445205479452	0.2337932756759046	0.3111111111111111	0.30337078651685395	0.0544513659389963	IFNG	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6175986842105263	0.4961916295675634	0.49275362318840576	0.6568627450980392	0.24031616508831596	IFNG	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.3308823529411765	0.2439503583053775	0.26666666666666666	0.56	-0.045834924851410566	IFNG	0.1
14	Leave_Snyder_out	Snyder	0.673469387755102	0.4328064559156996	0.5263157894736842	0.5714285714285714	0.2041241452319315	IFNG	0.1
15	Leave_Zhao_out	Zhao	0.4805194805194805	0.47729205015708154	0.5882352941176471	0.44	-0.03564363423913181	IFNG	0.1
