	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6094674556213018	0.4104528641293347	0.4848484848484849	0.5641025641025641	0.14509525002200233	NetBio	0.1
1	Leave_Choueiri_out	Choueiri	0.3589743589743589	0.13677248677248677	0.25	0.25	-0.1794871794871795	NetBio	0.30000000000000004
2	Leave_Gide_out	Gide	0.7787878787878787	0.803244106925633	0.7407407407407408	0.7123287671232876	0.4179350612800444	NetBio	0.1
3	Leave_Hugo_out	Hugo	0.49404761904761907	0.4954074887837603	0.4799999999999999	0.5	0.012012499502607453	NetBio	0.1
4	Leave_IMVigor210_out	IMVigor210	0.6048593350383632	0.28559662952810955	0.35294117647058826	0.7046979865771812	0.16163682864450127	NetBio	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6712962962962963	0.39916378157838267	0.5254237288135594	0.6606060606060606	0.28717904608671957	NetBio	0.1
6	Leave_Kim_out	Kim	0.6161616161616161	0.3704375009655721	0.4	0.5333333333333333	0.08712479227334831	NetBio	0.1
7	Leave_Liu_out	Liu	0.5258684405025869	0.43016792745290655	0.39534883720930236	0.514018691588785	-0.009462531760622096	NetBio	0.1
8	Leave_MGH_out	MGH	0.6212121212121212	0.4452581432323827	0.631578947368421	0.5882352941176471	0.40967324519935133	NetBio	0.1
9	Leave_Miao_out	Miao	0.45	0.2775070028011204	0.4	0.47058823529411764	0.015430334996209192	NetBio	0.9
10	Leave_Riaz_out	Riaz	0.6390243902439025	0.33925128776816116	0.3333333333333333	0.37254901960784315	0.062216077727838784	NetBio	0.1
11	Leave_Rose_out	Rose	0.7808219178082192	0.3379331380328384	0.08695652173913043	0.7640449438202247	-0.028089917807130386	NetBio	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.608141447368421	0.4331023321697644	0.45977011494252873	0.5392156862745098	0.07082755372521642	NetBio	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.6691176470588236	0.6280793180249702	0.5	0.68	0.2647058823529412	NetBio	0.9
14	Leave_Snyder_out	Snyder	0.7142857142857142	0.5586589764110772	0.5263157894736842	0.5714285714285714	0.2041241452319315	NetBio	0.1
15	Leave_Zhao_out	Zhao	0.6883116883116883	0.5963870688135394	0.16666666666666669	0.6	0.23028309323591914	NetBio	0.1
