	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.5295857988165681	0.36692007690477824	0.3571428571428571	0.5384615384615384	0.0	PDL1	0.1
1	Leave_Choueiri_out	Choueiri	0.5897435897435896	0.1998196248196248	0.3333333333333333	0.75	0.1794871794871795	PDL1	0.1
2	Leave_Gide_out	Gide	0.7829545454545455	0.8475842136255771	0.7341772151898733	0.7123287671232876	0.4210139319894313	PDL1	0.1
3	Leave_Hugo_out	Hugo	0.5952380952380952	0.5756774660358348	0.22222222222222224	0.46153846153846156	-0.03289758474798845	PDL1	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5610613810741688	0.24861253455164162	0.3716814159292035	0.5234899328859061	0.09526925780773782	PDL1	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6194800569800569	0.37784642907272925	0.4804469273743017	0.43636363636363634	0.161355910680271	PDL1	0.1
6	Leave_Kim_out	Kim	0.7904040404040403	0.550174113185994	0.6428571428571429	0.7777777777777778	0.49690460347332066	PDL1	0.1
7	Leave_Liu_out	Liu	0.5266075388026608	0.40131142357406124	0.2456140350877193	0.5981308411214953	0.04685310366733567	PDL1	0.1
8	Leave_MGH_out	MGH	0.4867424242424243	0.40129117100060985	0.13333333333333333	0.6176470588235294	-0.012763993017791393	PDL1	0.1
9	Leave_Miao_out	Miao	0.1	0.17187929717341482	0.25000000000000006	0.29411764705882354	-0.3337119062359573	PDL1	0.1
10	Leave_Riaz_out	Riaz	0.4878048780487805	0.1927178328210558	0.35714285714285715	0.6470588235294118	0.15197638592001614	PDL1	0.1
11	Leave_Rose_out	Rose	0.6207191780821918	0.3377645389503626	0.3225806451612903	0.5280898876404494	0.10131789443795562	PDL1	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6134868421052632	0.5277488799890673	0.5348837209302326	0.6078431372549019	0.20790800882019658	PDL1	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.5477941176470589	0.3176485810385267	0.25	0.52	-0.10294117647058823	PDL1	0.1
14	Leave_Snyder_out	Snyder	0.673469387755102	0.4360222901576285	0.5714285714285714	0.5714285714285714	0.2857142857142857	PDL1	0.1
15	Leave_Zhao_out	Zhao	0.6623376623376623	0.693693094922552	0.5000000000000001	0.68	0.3626203338114211	PDL1	0.1
