	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	1.0	0.9999999999999998	0.9285714285714286	0.9487179487179487	0.894427190999916	TIDE	0.1
1	Leave_Choueiri_out	Choueiri	0.46153846153846145	0.17450396825396824	0.28571428571428575	0.6875	0.09245003270420485	TIDE	0.1
2	Leave_Gide_out	Gide	0.6325757575757576	0.7629087002851073	0.5937499999999999	0.6438356164383562	0.34271826341881473	TIDE	0.1
3	Leave_Hugo_out	Hugo	0.4523809523809524	0.6117529405413518	0.4444444444444445	0.4230769230769231	-0.1543033499620919	TIDE	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5070332480818415	0.24474638477642882	0.3062200956937799	0.5134228187919463	-0.002794638171664267	TIDE	0.1
5	Leave_IMmotion150_out	IMmotion150	0.49501424501424507	0.2814419106254066	0.3140495867768595	0.49696969696969695	-0.06008381121248217	TIDE	0.1
6	Leave_Kim_out	Kim	0.4671717171717172	0.25501480512112196	0.3529411764705882	0.5111111111111111	0.01340381419589974	TIDE	0.1
7	Leave_Liu_out	Liu	0.4560236511456024	0.35418139913045776	0.425531914893617	0.4953271028037383	-0.011858103292403332	TIDE	0.1
8	Leave_MGH_out	MGH	0.47348484848484845	0.4080948684293335	0.3125	0.35294117647058826	-0.2574643252722186	TIDE	0.1
9	Leave_Miao_out	Miao	0.31666666666666665	0.20891594516594517	0.15384615384615385	0.35294117647058826	-0.34993385618385614	TIDE	0.1
10	Leave_Riaz_out	Riaz	0.5146341463414634	0.2041013591245065	0.16666666666666666	0.6078431372549019	-0.08245685919559344	TIDE	0.1
11	Leave_Rose_out	Rose	0.4931506849315068	0.16540936968825776	0.3728813559322034	0.5842696629213483	0.19145134598340965	TIDE	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6414473684210527	0.4960329954195095	0.5925925925925927	0.6764705882352942	0.32770448556773213	TIDE	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.5808823529411764	0.5044581812988354	0.35294117647058826	0.56	0.021437323142813606	TIDE	0.1
14	Leave_Snyder_out	Snyder	0.3673469387755102	0.25413717443792627	0.25	0.42857142857142855	-0.2041241452319315	TIDE	0.1
15	Leave_Zhao_out	Zhao	0.6753246753246753	0.7357147063520582	0.5833333333333334	0.6	0.20645590963700367	TIDE	0.1
