	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6686390532544378	0.4359394628899478	0.4666666666666667	0.5897435897435898	0.14625448482542613	Teff	0.1
1	Leave_Choueiri_out	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	Teff	0.1
2	Leave_Gide_out	Gide	0.8265151515151514	0.8658354247189788	0.7733333333333333	0.7671232876712328	0.5411359283578128	Teff	0.1
3	Leave_Hugo_out	Hugo	0.4464285714285714	0.5190242257843646	0.5	0.46153846153846156	-0.08333333333333333	Teff	0.1
4	Leave_IMVigor210_out	IMVigor210	0.6108695652173913	0.30522084468702804	0.3696682464454976	0.5536912751677853	0.10193984429705329	Teff	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6696937321937322	0.40268685787072267	0.512396694214876	0.6424242424242425	0.2623171270008368	Teff	0.1
6	Leave_Kim_out	Kim	0.8181818181818182	0.7634327604240956	0.6206896551724139	0.7555555555555555	0.46296161898907995	Teff	0.1
7	Leave_Liu_out	Liu	0.5373244641537325	0.4522275698770757	0.4367816091954023	0.5420560747663551	0.05334695131154952	Teff	0.1
8	Leave_MGH_out	MGH	0.5227272727272727	0.4360127203175511	0.4444444444444445	0.5588235294117647	0.08749572785196143	Teff	0.1
9	Leave_Miao_out	Miao	0.5333333333333333	0.28433982683982684	0.4000000000000001	0.6470588235294118	0.15	Teff	0.1
10	Leave_Riaz_out	Riaz	0.6268292682926829	0.5082061183982649	0.30303030303030304	0.5490196078431373	0.04865249835436819	Teff	0.1
11	Leave_Rose_out	Rose	0.6438356164383562	0.2407821598617902	0.392156862745098	0.651685393258427	0.2221066779414138	Teff	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6282894736842106	0.547054162075877	0.5	0.5882352941176471	0.15741333032053595	Teff	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.40441176470588236	0.37681160256077806	0.22222222222222224	0.44	-0.2100420126042015	Teff	0.1
14	Leave_Snyder_out	Snyder	0.673469387755102	0.5664402124486158	0.5	0.6190476190476191	0.2041241452319315	Teff	0.1
15	Leave_Zhao_out	Zhao	0.44805194805194803	0.4676969357044676	0.4999999999999999	0.52	0.045162230233094555	Teff	0.1
