transfer,Texh,TAM,CTLA4,CAF,FFT,NRS,NetBio,TIDE,CKS,NFT,PD1,GeneBio,IFNG,PDL1,IS,PGM,CD8,IMPRES,CTL,MIAS,GEP,ICA,PFT,CIS,LFT,Teff
Ravi-2$\mapsto$Choueiri,0.1109355921855921,0.1421085858585858,0.1276871276871277,0.1745039682539682,0.1298280423280423,0.1172348484848484,0.1872710622710622,0.1745039682539682,0.2314814814814814,0.1421085858585858,0.132978132978133,0.1470034595034595,0.1243201243201243,0.1998196248196248,0.1258352758352758,0.2249694749694749,0.1258352758352758,0.3222222222222222,0.1276871276871277,0.1241792929292929,0.1369463869463869,0.1317275317275317,0.1268435268435268,0.1276871276871277,0.1506734006734006,0.1276871276871277
Ravi-2$\mapsto$Riaz,0.1792939144443373,0.1726521475696935,0.1284253316000011,0.2756365771862434,0.1689968742613187,0.1514702656243624,0.2334194183629802,0.2041013591245065,0.1447375208023635,0.1673490954448425,0.1443505703378628,0.1493062617413333,0.1510290334408088,0.1927178328210558,0.1599561744688737,0.1630143219058858,0.1551248970326252,0.3084722222222222,0.1602362299742133,0.1483997423801419,0.1505117212500906,0.1623798250482208,0.2384565032135869,0.1474594956215922,0.2656512704818175,0.1564134570470754
Miao$\mapsto$Rose,0.17799208324103,0.249177162772109,0.2458037278228756,0.1386275488608467,0.1840272839281818,0.209218675712222,0.1936759757937383,0.1796177263202128,0.1386201476686953,0.125179400818519,0.1760466501603051,0.25399401199702,0.178799733638191,0.1490570288860269,0.1564357685552251,0.1469860976140937,0.2215484188859352,0.178283832582497,0.1532020968812327,0.185310596770911,0.22600490983404,0.1785636925767247,0.1886350375381003,0.2222092972449059,0.1757373615226197,0.1403006885879117
Hugo$\mapsto$Choueiri,0.1109355921855921,0.1421085858585858,0.1276871276871277,0.1745039682539682,0.12633547008547,0.1172348484848484,0.1268435268435268,0.452559015059015,0.2314814814814814,0.1202110389610389,0.132978132978133,0.1276871276871277,0.1243201243201243,0.1998196248196248,0.1258352758352758,0.4700854700854701,0.1258352758352758,0.3222222222222222,0.1276871276871277,0.5204545454545455,0.1369463869463869,0.1317275317275317,0.140059015059015,0.1276871276871277,0.1209325396825396,0.1276871276871277
Hugo$\mapsto$Rose,0.1934700790532217,0.249177162772109,0.1852960219780889,0.272197534479505,0.2289165452820251,0.1777345631959612,0.1473477177656832,0.1796177263202128,0.1386201476686953,0.2170311685129907,0.1760466501603051,0.1514065697141798,0.178799733638191,0.3377645389503626,0.1564357685552251,0.2790584255595056,0.155534798293715,0.3443990526384167,0.1532020968812327,0.2270701965297412,0.22600490983404,0.1785636925767247,0.2019504816480326,0.1542573535242129,0.1913471393522362,0.1403006885879117
Ravi-2$\mapsto$Rose,0.1934700790532217,0.249177162772109,0.1852960219780889,0.272197534479505,0.1892956935684215,0.1777345631959612,0.3792983849686101,0.1654093696882577,0.1386201476686953,0.1725713925955202,0.1760466501603051,0.1693691452175456,0.178799733638191,0.3377645389503626,0.1564357685552251,0.1594248642032953,0.155534798293715,0.3443990526384167,0.1532020968812327,0.185310596770911,0.22600490983404,0.1785636925767247,0.2426721956978634,0.1542573535242129,0.2509176091061342,0.1403006885879117
Hugo$\mapsto$Riaz,0.1792939144443373,0.1726521475696935,0.1284253316000011,0.2756365771862434,0.1654246103555684,0.1514702656243624,0.1543504296195419,0.1829184414153798,0.1447375208023635,0.3328419380405558,0.1443505703378628,0.2494604127803024,0.1510290334408088,0.1927178328210558,0.1599561744688737,0.416052787208275,0.1551248970326252,0.3084722222222222,0.1602362299742133,0.4970191498326853,0.1505117212500906,0.1623798250482208,0.1958758310434855,0.1474594956215922,0.2046897268297254,0.1564134570470754
Choueiri$\mapsto$Rose,0.17799208324103,0.146273001757643,0.2458037278228756,0.1386275488608467,0.1580075101090601,0.209218675712222,0.3170177439770907,0.1796177263202128,0.1386201476686953,0.1722160800740016,0.3101730439590031,0.223669663573646,0.2337932756759046,0.3377645389503626,0.2414438779812978,0.2068018254887115,0.2215484188859352,0.178283832582497,0.2526932947591305,0.2270701965297412,0.2560567119052158,0.2405633951843156,0.1485144467950412,0.2222092972449059,0.1802181223418724,0.2407821598617902
Zhao$\mapsto$Rose,0.1934700790532217,0.249177162772109,0.2458037278228756,0.1386275488608467,0.1365194184636656,0.1777345631959612,0.2390104333626364,0.1654093696882577,0.1386201476686953,0.2439745941441888,0.3101730439590031,0.1712728420769101,0.2337932756759046,0.3377645389503626,0.1564357685552251,0.2209926175129601,0.155534798293715,0.3443990526384167,0.2526932947591305,0.2270701965297412,0.2560567119052158,0.2405633951843156,0.2112022345067016,0.2222092972449059,0.2029114388343108,0.2407821598617902
Miao$\mapsto$IMVigor210,0.1958518965291403,0.3230066180212102,0.2301850555338856,0.1970515713067629,0.1893964577153243,0.2273467508559677,0.2296339364361599,0.229739952206987,0.2094849721162657,0.2082588448364445,0.2448425553507594,0.2378239731897261,0.2074410520943922,0.1923232991284983,0.2132761101498626,0.2771299742078571,0.2730181069090543,0.2162768202021396,0.1919321204274558,0.230939935109881,0.2104769488349845,0.1975452457996282,0.1978025565450433,0.2485314226393518,0.1908418809536302,0.1803591563221112
