	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7337278106508875	0.621918818130252	0.5454545454545455	0.6153846153846154	0.2539166875385041
1	Leave_Choueiri_out	Choueiri	0.5384615384615384	0.17832491582491583	0.28571428571428575	0.6875	0.09245003270420485
2	Leave_Gide_out	Gide	0.6719696969696969	0.7155654809080024	0.5428571428571427	0.5616438356164384	0.14330448601001405
3	Leave_Hugo_out	Hugo	0.5059523809523809	0.525599388847675	0.45454545454545453	0.5384615384615384	0.11572751247156893
4	Leave_IMVigor210_out	IMVigor210	0.6492966751918159	0.4355562443623288	0.41509433962264153	0.5838926174496645	0.1782699336629706
5	Leave_IMmotion150_out	IMmotion150	0.6157407407407407	0.4175240195069889	0.4273504273504274	0.593939393939394	0.1332959131459573
6	Leave_Kim_out	Kim	0.8080808080808081	0.6483458621529485	0.5185185185185186	0.7111111111111111	0.3198010745334156
7	Leave_Liu_out	Liu	0.5011086474501109	0.38453426301849003	0.46153846153846156	0.5420560747663551	0.07093815681673618
8	Leave_MGH_out	MGH	0.6439393939393939	0.47967662765473706	0.611111111111111	0.5882352941176471	0.3416574278130039
9	Leave_Miao_out	Miao	0.26666666666666666	0.19779560308972075	0.20000000000000004	0.5294117647058824	-0.13333333333333333
10	Leave_Riaz_out	Riaz	0.5658536585365853	0.21028702970788474	0.35294117647058826	0.5686274509803921	0.12804555422442265
11	Leave_Rose_out	Rose	0.6361301369863013	0.2908896881924655	0.35555555555555557	0.6741573033707865	0.1739624980173101
12	Leave_SU2CLC1_out	SU2CLC1	0.6299342105263158	0.463355298181025	0.3548387096774194	0.6078431372549019	0.09842027795815415
13	Leave_SU2CLC2_out	SU2CLC2	0.6176470588235294	0.38460201165793273	0.5333333333333333	0.72	0.3361227822436775
14	Leave_Snyder_out	Snyder	0.6122448979591837	0.34931497074354223	0.0	0.6190476190476191	-0.15811388300841897
15	Leave_Zhao_out	Zhao	0.6558441558441559	0.5056351138076318	0.0	0.48	-0.2613866510869666
