	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.9289940828402367	0.9235493850878465	0.8799999999999999	0.9230769230769231	0.8249579113843054
1	Leave_Choueiri_out	Choueiri	0.3589743589743589	0.13882275132275132	0.0	0.5625	-0.2773500981126145
2	Leave_Gide_out	Gide	0.8174242424242424	0.8123436270038723	0.6944444444444444	0.6986301369863014	0.41413565163204397
3	Leave_Hugo_out	Hugo	0.6369047619047619	0.6373040669770547	0.4	0.5384615384615384	0.14085904245475275
4	Leave_IMVigor210_out	IMVigor210	0.7139386189258312	0.4964666156585398	0.45161290322580644	0.7718120805369127	0.3115680922038691
5	Leave_IMmotion150_out	IMmotion150	0.675925925925926	0.4573864690586835	0.48543689320388356	0.6787878787878788	0.254762332682534
6	Leave_Kim_out	Kim	0.9343434343434343	0.835429759510642	0.7142857142857143	0.8222222222222222	0.6018844492775434
7	Leave_Liu_out	Liu	0.7209903917220991	0.6466904728768045	0.48484848484848486	0.6822429906542056	0.291686218637962
8	Leave_MGH_out	MGH	0.8143939393939393	0.7528895183919139	0.6451612903225806	0.6764705882352942	0.4083133966424866
9	Leave_Miao_out	Miao	0.3833333333333333	0.23830065359477126	0.25	0.6470588235294118	0.03984095364447979
10	Leave_Riaz_out	Riaz	0.7999999999999999	0.4454824343444952	0.5263157894736842	0.6470588235294118	0.44760298486018735
11	Leave_Rose_out	Rose	0.7046232876712328	0.3113108397361874	0.26086956521739124	0.8089887640449438	0.18930162000457432
12	Leave_SU2CLC1_out	SU2CLC1	0.7602796052631579	0.753819211010593	0.6329113924050632	0.7156862745098039	0.40222868670991435
13	Leave_SU2CLC2_out	SU2CLC2	0.6985294117647058	0.4936876981713938	0.5	0.68	0.2647058823529412
14	Leave_Snyder_out	Snyder	0.4693877551020408	0.40756589349026323	0.0	0.6666666666666666	0.0
15	Leave_Zhao_out	Zhao	0.6233766233766234	0.5414057718870553	0.0	0.56	0.0
