	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.6272189349112426	0.39062968498310247	0.5	0.3333333333333333	0.0
1	Leave_Choueiri_out	Choueiri	0.5641025641025641	0.46016483516483514	0.3157894736842105	0.1875	0.0
2	Leave_Gide_out	Gide	0.7378787878787878	0.8054478479062832	0.7079646017699115	0.547945205479452	0.0
3	Leave_Hugo_out	Hugo	0.5357142857142858	0.5145332984745856	0.7000000000000001	0.5384615384615384	0.0
4	Leave_IMVigor210_out	IMVigor210	0.6280690537084399	0.3258241951319419	0.0	0.7718120805369127	0.0
5	Leave_IMmotion150_out	IMmotion150	0.6137820512820513	0.3534663623655827	0.45070422535211263	0.2909090909090909	0.0
6	Leave_Kim_out	Kim	0.7323232323232323	0.5175173885923048	0.0	0.7333333333333333	0.0
7	Leave_Liu_out	Liu	0.5040650406504065	0.3858175570838533	0.5540540540540541	0.38317757009345793	0.0
8	Leave_MGH_out	MGH	0.5833333333333334	0.4715538719887776	0.5217391304347826	0.35294117647058826	0.0
9	Leave_Miao_out	Miao	0.18333333333333332	0.18344717374129138	0.45454545454545453	0.29411764705882354	0.0
10	Leave_Riaz_out	Riaz	0.5707317073170731	0.20729981067515757	0.3278688524590164	0.19607843137254902	0.0
11	Leave_Rose_out	Rose	0.6070205479452054	0.25496167853160845	0.0	0.8202247191011236	0.0
12	Leave_SU2CLC1_out	SU2CLC1	0.6175986842105262	0.5030273990060777	0.0	0.6274509803921569	0.0
13	Leave_SU2CLC2_out	SU2CLC2	0.463235294117647	0.39964121952608794	0.0	0.68	0.0
14	Leave_Snyder_out	Snyder	0.7857142857142858	0.5287131519274376	0.0	0.6666666666666666	0.0
15	Leave_Zhao_out	Zhao	0.5974025974025974	0.4896822983779506	0.6111111111111112	0.44	0.0
