	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.9053254437869822	0.8662130604438296	0.7333333333333334	0.7948717948717948	0.5850179393017045
1	Leave_Choueiri_out	Choueiri	0.30769230769230765	0.12821969696969698	0.0	0.5625	-0.2773500981126145
2	Leave_Gide_out	Gide	0.8098484848484849	0.8131768985751405	0.7948717948717949	0.7808219178082192	0.5607587095813876
3	Leave_Hugo_out	Hugo	0.5833333333333334	0.6858188138462353	0.5217391304347826	0.5769230769230769	0.18712029714127992
4	Leave_IMVigor210_out	IMVigor210	0.6907289002557545	0.47773582714604107	0.4385964912280702	0.785234899328859	0.3209868212524986
5	Leave_IMmotion150_out	IMmotion150	0.73005698005698	0.6095552430340972	0.5405405405405405	0.6909090909090909	0.32060653661140953
6	Leave_Kim_out	Kim	0.9015151515151516	0.763925555653497	0.6	0.8222222222222222	0.5082247369937667
7	Leave_Liu_out	Liu	0.7287509238728752	0.6558773607916051	0.5151515151515151	0.7009345794392523	0.3371162410459124
8	Leave_MGH_out	MGH	0.7727272727272727	0.7041419431770309	0.5333333333333333	0.5882352941176471	0.2030905986149808
9	Leave_Miao_out	Miao	0.33333333333333337	0.23187929717341482	0.0	0.6470588235294118	-0.1613743060919757
10	Leave_Riaz_out	Riaz	0.7780487804878049	0.43450200928112626	0.45454545454545453	0.5294117647058824	0.34921514788478913
11	Leave_Rose_out	Rose	0.6866438356164384	0.37720111251443156	0.11764705882352941	0.8314606741573034	0.2276984648808395
12	Leave_SU2CLC1_out	SU2CLC1	0.744654605263158	0.7242568262622848	0.6301369863013698	0.7352941176470589	0.42544213471123865
13	Leave_SU2CLC2_out	SU2CLC2	0.7573529411764706	0.6595646591970121	0.625	0.76	0.4485294117647059
14	Leave_Snyder_out	Snyder	0.4081632653061224	0.2836985192801203	0.0	0.6190476190476191	-0.15811388300841897
15	Leave_Zhao_out	Zhao	0.8636363636363636	0.7021838010474374	0.0	0.56	0.0
