,size_map,mode,seed,ROC,PRC,F1,ACC,MCC
0,large,CAF,42.0,0.5389990861688976,0.32406310684501527,0.4132553606237816,0.5520833333333334,0.09012254173541817
1,large,CD8,42.0,0.5889480191366984,0.3632632502372338,0.435483870967742,0.5833333333333334,0.13619904312176717
2,large,CIS,42.0,0.5743052195882384,0.35059490436570595,0.43737574552683894,0.5788690476190477,0.1357252608505781
3,large,CKS,42.0,0.5877546632263613,0.3768935243619328,0.4431818181818182,0.5625,0.1335897885498325
4,large,CTL,42.0,0.5892920496694082,0.3635668863727669,0.44752475247524753,0.5848214285714286,0.1515750176725071
5,large,CTLA4,42.0,0.4995323334945977,0.2777489258493556,0.42372881355932207,0.49404761904761907,0.06913998554337722
6,large,FFT,24.0,0.5896038273396764,0.3851235721976757,0.4190871369294606,0.5833333333333334,0.11745041220073502
7,large,FFT,42.0,0.5896038273396764,0.3851235721976757,0.4190871369294606,0.5833333333333334,0.11745041220073502
8,large,FFT,64.0,0.5739074342847929,0.3693049419514428,0.3640776699029126,0.6101190476190477,0.0843660981333111
9,large,GEP,42.0,0.6134279417298285,0.4112727905509817,0.4629294755877035,0.5580357142857143,0.1584867654546493
10,large,GeneBio,42.0,0.5743589743589743,0.3730174837569942,0.4275362318840579,0.5297619047619048,0.09465734957560494
11,large,ICA,42.0,0.5834542815674891,0.3630855483594696,0.4470588235294118,0.5803571428571429,0.14845393436694657
12,large,IFNG,42.0,0.49948932967800896,0.29564372780189,0.39938556067588327,0.4181547619047619,-0.016298168603720763
13,large,IMPRES,42.0,0.5394990055367415,0.30301721180363705,0.4479495268138801,0.4791666666666667,0.10066547431714565
14,large,IS,42.0,0.5695317959468903,0.35590907910518255,0.430188679245283,0.5505952380952381,0.11010593747624114
15,large,LFT,24.0,0.721700800946084,0.5649112850156824,0.5053763440860215,0.7261904761904762,0.3173981360090244
16,large,LFT,42.0,0.7222598505617374,0.5974300998150995,0.5106382978723404,0.7261904761904762,0.3213505827809434
17,large,LFT,64.0,0.7111971187442885,0.5761836670839428,0.5208747514910537,0.6413690476190477,0.2739182537166212
18,large,MIAS,42.0,0.5370424125141107,0.3414247546580747,0.4188626907073509,0.37648809523809523,-0.012991417655528135
19,large,NFT,42.0,0.5790248884588507,0.33501084457246444,0.3811563169164882,0.5699404761904762,0.0672774321850486
20,large,NRS,42.0,0.49284524001505137,0.31422909272795363,0.3582089552238807,0.4880952380952381,-0.01935330017175844
21,large,NetBio,42.0,0.6245229264097188,0.3691044185973335,0.4309133489461358,0.6383928571428571,0.17019330156073642
22,large,PD1,42.0,0.5624039133473095,0.37982011299136487,0.4089775561097257,0.6473214285714286,0.1580422060721991
23,large,PDL1,42.0,0.5425899048540558,0.3136872994420017,0.4197080291970803,0.5267857142857143,0.08251643648671307
24,large,PFT,24.0,0.7125409880126861,0.5538473961640187,0.4804469273743016,0.7232142857142857,0.2960472758008197
25,large,PFT,42.0,0.719496855345912,0.5844784045230689,0.5219780219780219,0.7410714285714286,0.3473311750904128
26,large,PFT,64.0,0.7206472074396604,0.5800639688916386,0.539906103286385,0.7083333333333334,0.3311508656555466
27,large,PGM,42.0,0.5829274848142773,0.37677282876843454,0.4300202839756592,0.5818452380952381,0.12887824251824076
28,large,TAM,42.0,0.5419233456969306,0.33508366371173215,0.39263803680981596,0.5580357142857143,0.07063978039946213
29,large,TIDE,42.0,0.5221738429285598,0.311957225168235,0.37623762376237624,0.53125,0.033180893058878926
30,large,Teff,42.0,0.6036123205934527,0.38178291976909684,0.43737574552683894,0.5788690476190477,0.1357252608505781
31,large,Texh,42.0,0.5423963876794066,0.3211510110973329,0.3929273084479371,0.5401785714285714,0.058383684423315825
32,medium,CAF,42.0,0.5414324646567876,0.3591452212168483,0.4014336917562724,0.4954682779456193,0.01611951401732752
33,medium,CD8,42.0,0.6505918923522397,0.4582299373999431,0.5182186234817814,0.6404833836858006,0.2525936358700004
34,medium,CIS,42.0,0.6470362800204393,0.45752540329002056,0.5161290322580645,0.6374622356495468,0.24830417141002722
35,medium,CKS,42.0,0.6688383580309999,0.43243445244315,0.5263157894736842,0.6465256797583081,0.26575618207166446
36,medium,CTL,42.0,0.6583631408618633,0.4672798748980624,0.5081967213114754,0.6374622356495468,0.2391698709972595
