,ROC,PRC,F1,ACC,MCC,cohort,mode
Test,0.3076923076923077,0.12866300366300368,0.2,0.5,-0.10087125544480041,Choueiri,p=133
Test,0.3833333333333333,0.2298790098790099,0.16666666666666666,0.4117647058823529,-0.27774602993176545,Miao,p=133
Test,0.5,0.29831753214106155,0.5,0.5238095238095238,0.1386750490563073,Snyder,p=133
Test,0.3088235294117647,0.2290765929420821,0.36363636363636365,0.44,-0.08291849892341732,SU2CLC2,p=133
Test,0.5,0.41850548915339536,0.5217391304347826,0.56,0.11613144917081457,Zhao,p=133
Test,0.5119047619047619,0.5452337462138098,0.5185185185185186,0.5,0.0,Hugo,p=133
Test,0.45833333333333337,0.3096400922719381,0.4375,0.47058823529411764,-0.0073561235792062455,MGH,p=133
Test,0.5502958579881657,0.3367706139980789,0.4000000000000001,0.5384615384615384,0.036563621206356534,Allen,p=133
Test,0.8156565656565657,0.7715137871387873,0.7199999999999999,0.8444444444444444,0.6134866108386732,Kim,p=133
Test,0.5634146341463415,0.28930174681493764,0.3333333333333333,0.6078431372549019,0.10908748176672764,Riaz,p=133
Test,0.7643939393939394,0.8106119337344861,0.7027027027027027,0.6986301369863014,0.4066525949915872,Gide,p=133
Test,0.6472602739726028,0.25103556730372384,0.3478260869565218,0.6629213483146067,0.1613540721498358,Rose,p=133
Test,0.6496710526315789,0.5135499668137673,0.5384615384615385,0.6470588235294118,0.2532694218464693,SU2CLC1,p=133
Test,0.5421286031042128,0.419150920515576,0.44943820224719094,0.5420560747663551,0.06213237092279465,Liu,p=133
Test,0.6899928774928775,0.506773898519888,0.49557522123893816,0.6545454545454545,0.24826816321842415,IMmotion150,p=133
Test,0.6847826086956522,0.3753919141310882,0.42857142857142855,0.6241610738255033,0.20663556502296615,IMVigor210,p=133
Test,0.20512820512820512,0.11537698412698412,0.2,0.5,-0.10087125544480041,Choueiri,p=44
Test,0.6833333333333333,0.5143406593406594,0.6153846153846154,0.7058823529411765,0.42600643361512924,Miao,p=44
Test,0.5612244897959183,0.33880032874393773,0.5555555555555556,0.6190476190476191,0.26967994498529685,Snyder,p=44
Test,0.375,0.2498342572675003,0.3478260869565218,0.4,-0.140028008402801,SU2CLC2,p=44
Test,0.5844155844155845,0.474978706544132,0.6086956521739131,0.64,0.2774251285747237,Zhao,p=44
Test,0.4583333333333333,0.4991028390174353,0.6428571428571429,0.6153846153846154,0.2261904761904762,Hugo,p=44
Test,0.5,0.3263417225634695,0.5,0.5294117647058824,0.11769797726729993,MGH,p=44
Test,0.5739644970414202,0.3521855135720695,0.5161290322580646,0.6153846153846154,0.2182178902359924,Allen,p=44
Test,0.7727272727272728,0.6433295229675865,0.6153846153846153,0.7777777777777778,0.46313624586844604,Kim,p=44
Test,0.6,0.3324715922292445,0.47619047619047616,0.7843137254901961,0.341389166777308,Riaz,p=44
Test,0.7537878787878789,0.7644276097827459,0.7027027027027027,0.6986301369863014,0.4066525949915872,Gide,p=44
Test,0.5393835616438356,0.19467394891559042,0.339622641509434,0.6067415730337079,0.13941911797356227,Rose,p=44
Test,0.5859375,0.4299036915471878,0.5060240963855421,0.5980392156862745,0.17296501815952614,SU2CLC1,p=44
Test,0.49297856614929786,0.369786782416778,0.5,0.5700934579439252,0.13309407626666037,Liu,p=44
Test,0.6691595441595442,0.4331255228125571,0.5042016806722689,0.6424242424242425,0.251870742818528,IMmotion150,p=44
Test,0.6432225063938619,0.3133655465761599,0.3979057591623037,0.6140939597315436,0.16132503077770308,IMVigor210,p=44
Test,0.20512820512820512,0.11537698412698412,0.0,0.6875,-0.18156825980064073,Choueiri,p=15672
Test,0.6166666666666667,0.3292857142857143,0.3636363636363636,0.5882352941176471,0.06356417261637282,Miao,p=15672
Test,0.2551020408163265,0.23871576265152117,0.16666666666666666,0.5238095238095238,-0.15811388300841897,Snyder,p=15672
Test,0.5220588235294117,0.3004896969752814,0.5185185185185185,0.48,0.1847166127834302,SU2CLC2,p=15672
Test,0.45454545454545453,0.3903279592607656,0.380952380952381,0.48,-0.0657951694959769,Zhao,p=15672
Test,0.5654761904761905,0.596045124216708,0.45454545454545453,0.5384615384615384,0.11572751247156893,Hugo,p=15672
Test,0.356060606060606,0.27719163803347074,0.0,0.5882352941176471,-0.1846372364689991,MGH,p=15672
Test,0.4467455621301775,0.30806484514202936,0.34782608695652173,0.6153846153846154,0.08304547985373996,Allen,p=15672
Test,0.6742424242424242,0.5370517798409508,0.5,0.6444444444444445,0.26967994498529685,Kim,p=15672
Test,0.275609756097561,0.13300531477033886,0.0,0.6862745098039216,-0.18033392693348646,Riaz,p=15672
Test,0.6431818181818182,0.6489551125904898,0.5633802816901409,0.5753424657534246,0.16781478586629586,Gide,p=15672
Test,0.5154109589041096,0.30364754985867404,0.2,0.6404494382022472,-0.020743131033477216,Rose,p=15672
Test,0.558799342105263,0.38677553319142305,0.3384615384615384,0.5784313725490197,0.04325904563487001,SU2CLC1,p=15672
Test,0.5705838876570585,0.42373287091321904,0.46511627906976744,0.5700934579439252,0.10736334113013533,Liu,p=15672
Test,0.6043447293447294,0.3596269114786845,0.4418604651162791,0.41818181818181815,0.05951285697098229,IMmotion150,p=15672
Test,0.6277493606138107,0.3142748439681339,0.41004184100418406,0.5268456375838926,0.16136995360914927,IMVigor210,p=15672
