	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6745562130177516	0.43442585232450714	0.5517241379310345	0.6666666666666666	0.29488391230979427	CIS	0.1
1	Leave_Choueiri_out	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	CIS	0.1
2	Leave_Gide_out	Gide	0.7916666666666666	0.8295955432229817	0.7105263157894738	0.6986301369863014	0.40045658830325054	CIS	0.1
3	Leave_Hugo_out	Hugo	0.4464285714285714	0.4875385182637168	0.4615384615384615	0.46153846153846156	-0.07142857142857142	CIS	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5375319693094629	0.24853142263935182	0.3448275862068965	0.5536912751677853	0.06737999155242373	CIS	0.1
5	Leave_IMmotion150_out	IMmotion150	0.7118945868945868	0.4529657552569461	0.5322580645161291	0.6484848484848484	0.29156321341406716	CIS	0.1
6	Leave_Kim_out	Kim	0.7196969696969696	0.5025217171135594	0.6	0.7333333333333333	0.43082021842766455	CIS	0.1
7	Leave_Liu_out	Liu	0.5380635624538064	0.45624488589931533	0.43956043956043955	0.5233644859813084	0.03240829499241755	CIS	0.1
8	Leave_MGH_out	MGH	0.44696969696969696	0.4365644427432852	0.4444444444444445	0.5588235294117647	0.08749572785196143	CIS	0.1
9	Leave_Miao_out	Miao	0.55	0.28661616161616155	0.3076923076923077	0.47058823529411764	-0.09128709291752769	CIS	0.1
10	Leave_Riaz_out	Riaz	0.6682926829268292	0.5418373286826269	0.35294117647058826	0.5686274509803921	0.12804555422442265	CIS	0.1
11	Leave_Rose_out	Rose	0.5907534246575343	0.22220929724490596	0.30769230769230765	0.5955056179775281	0.09110208190968476	CIS	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6077302631578947	0.4680739636345671	0.5176470588235293	0.5980392156862745	0.18266419151395719	CIS	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.3308823529411765	0.24566392600917353	0.22222222222222224	0.44	-0.2100420126042015	CIS	0.1
14	Leave_Snyder_out	Snyder	0.7142857142857142	0.7083840553765366	0.5555555555555556	0.6190476190476191	0.26967994498529685	CIS	0.1
15	Leave_Zhao_out	Zhao	0.49999999999999994	0.48467978137854484	0.47619047619047616	0.56	0.09869275424396534	CIS	0.1
