	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6390532544378698	0.43120928667852454	0.4666666666666667	0.5897435897435898	0.14625448482542613	GeneBio	0.1
1	Leave_Choueiri_out	Choueiri	0.717948717948718	0.26011904761904764	0.5	0.625	0.4236592728681617	GeneBio	0.1
2	Leave_Gide_out	Gide	0.812878787878788	0.8467785785122525	0.7297297297297296	0.726027397260274	0.4618303634569884	GeneBio	0.1
3	Leave_Hugo_out	Hugo	0.5	0.5161036252699114	0.4615384615384615	0.46153846153846156	-0.07142857142857142	GeneBio	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5751278772378516	0.2646203495297207	0.34951456310679613	0.5503355704697986	0.07232382053047012	GeneBio	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6958689458689459	0.46494161186645355	0.48648648648648646	0.42424242424242425	0.18291732493330168	GeneBio	0.1
6	Leave_Kim_out	Kim	0.7904040404040404	0.6457951783463293	0.5238095238095238	0.5555555555555556	0.3198010745334156	GeneBio	0.1
7	Leave_Liu_out	Liu	0.5277161862527716	0.44497983478527847	0.33333333333333337	0.5887850467289719	0.06453610659820994	GeneBio	0.1
8	Leave_MGH_out	MGH	0.5170454545454546	0.46902505527701804	0.26666666666666666	0.6764705882352942	0.20422388828466229	GeneBio	0.1
9	Leave_Miao_out	Miao	0.55	0.281060606060606	0.47619047619047616	0.35294117647058826	0.1613743060919757	GeneBio	0.1
10	Leave_Riaz_out	Riaz	0.6536585365853659	0.5037958497234235	0.3684210526315789	0.5294117647058824	0.14984969493145403	GeneBio	0.1
11	Leave_Rose_out	Rose	0.5933219178082192	0.2240439404804348	0.34615384615384615	0.6179775280898876	0.1507203561005814	GeneBio	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6217105263157895	0.45781400104124775	0.5473684210526316	0.5784313725490197	0.1945856454294669	GeneBio	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.33088235294117646	0.257915507515155	0.1904761904761905	0.32	-0.3707336495572356	GeneBio	0.1
14	Leave_Snyder_out	Snyder	0.5612244897959183	0.3462937647148173	0.0	0.6190476190476191	-0.15811388300841897	GeneBio	0.1
15	Leave_Zhao_out	Zhao	0.4415584415584416	0.4523372363328494	0.14285714285714288	0.52	-0.07935196008581541	GeneBio	0.1
