	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.7085798816568046	0.5805166098269546	0.5806451612903226	0.6666666666666666	0.3273268353539886	IMPRES	0.1
1	Leave_Choueiri_out	Choueiri	0.4358974358974359	0.32222222222222224	0.0	0.8125	0.0	IMPRES	0.1
2	Leave_Gide_out	Gide	0.5571969696969697	0.5822241462241462	0.6444444444444445	0.5616438356164384	0.09496202694374643	IMPRES	0.1
3	Leave_Hugo_out	Hugo	0.6369047619047619	0.5166427775123428	0.0	0.38461538461538464	-0.31180478223116176	IMPRES	0.1
4	Leave_IMVigor210_out	IMVigor210	0.519693094629156	0.24554670349129765	0.3745318352059925	0.4395973154362416	0.07793339352248428	IMPRES	0.1
5	Leave_IMmotion150_out	IMmotion150	0.5716702279202279	0.36530535237431794	0.45945945945945954	0.5151515151515151	0.13406480813794905	IMPRES	0.1
6	Leave_Kim_out	Kim	0.4217171717171717	0.2020054141764668	0.2580645161290323	0.4888888888888889	-0.10852509381807648	IMPRES	0.1
7	Leave_Liu_out	Liu	0.5861049519586106	0.5080676380500873	0.4950495049504951	0.5233644859813084	0.07783053390061445	IMPRES	0.1
8	Leave_MGH_out	MGH	0.4564393939393939	0.40537331231304063	0.3870967741935484	0.4411764705882353	-0.08749572785196143	IMPRES	0.1
9	Leave_Miao_out	Miao	0.4	0.4207754010695187	0.25000000000000006	0.29411764705882354	-0.3337119062359573	IMPRES	0.1
10	Leave_Riaz_out	Riaz	0.625609756097561	0.30847222222222226	0.11111111111111112	0.6862745098039216	-0.0772194756468332	IMPRES	0.1
11	Leave_Rose_out	Rose	0.5851883561643836	0.34439905263841675	0.25531914893617014	0.6067415730337079	0.02622209168332338	IMPRES	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.5731907894736843	0.45170432617929845	0.5593220338983051	0.49019607843137253	0.15757215727660717	IMPRES	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.45955882352941174	0.33165074659639876	0.43478260869565216	0.48	0.03500700210070025	IMPRES	0.1
14	Leave_Snyder_out	Snyder	0.5510204081632653	0.4465347677532552	0.3333333333333333	0.6190476190476191	0.07905694150420949	IMPRES	0.1
15	Leave_Zhao_out	Zhao	0.5811688311688311	0.5838998682476942	0.0	0.56	0.0	IMPRES	0.1
