	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.6331360946745562	0.3913046882184203	0.5161290322580646	0.6153846153846154	0.2182178902359924	IS	0.1
1	Leave_Choueiri_out	Choueiri	0.7435897435897436	0.276984126984127	0.6	0.75	0.5447047794019222	IS	0.1
2	Leave_Gide_out	Gide	0.7848484848484848	0.822511702649273	0.7532467532467533	0.7397260273972602	0.48039707485719507	IS	0.1
3	Leave_Hugo_out	Hugo	0.47023809523809523	0.562936699097822	0.5	0.46153846153846156	-0.08333333333333333	IS	0.1
4	Leave_IMVigor210_out	IMVigor210	0.5406649616368286	0.2637586196115098	0.34703196347031967	0.5201342281879194	0.05667589705946801	IS	0.1
5	Leave_IMmotion150_out	IMmotion150	0.6451210826210826	0.3825916999050965	0.48437500000000006	0.6	0.2063204036792265	IS	0.1
6	Leave_Kim_out	Kim	0.8232323232323231	0.756882476076555	0.625	0.7333333333333333	0.47193990372426947	IS	0.1
7	Leave_Liu_out	Liu	0.5343680709534369	0.4437337991245043	0.5208333333333334	0.5700934579439252	0.15097407509877206	IS	0.1
8	Leave_MGH_out	MGH	0.5303030303030303	0.4502177504461016	0.4666666666666666	0.5294117647058824	0.07978559231302818	IS	0.1
9	Leave_Miao_out	Miao	0.43333333333333335	0.240021645021645	0.3076923076923077	0.47058823529411764	-0.09128709291752769	IS	0.1
10	Leave_Riaz_out	Riaz	0.6341463414634146	0.5814619336554179	0.28571428571428575	0.5098039215686274	0.009685485552825746	IS	0.1
11	Leave_Rose_out	Rose	0.6181506849315068	0.2414438779812978	0.37037037037037035	0.6179775280898876	0.18743504748849818	IS	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6077302631578947	0.5273407414643457	0.45977011494252873	0.5392156862745098	0.07082755372521642	IS	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.42647058823529416	0.27127250252607804	0.4210526315789474	0.56	0.08291849892341732	IS	0.1
14	Leave_Snyder_out	Snyder	0.653061224489796	0.3915690518631695	0.5	0.6190476190476191	0.2041241452319315	IS	0.1
15	Leave_Zhao_out	Zhao	0.4675324675324675	0.46984028436025527	0.4999999999999999	0.52	0.045162230233094555	IS	0.1
