	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.4556213017751479	0.2947326377111444	0.4571428571428572	0.5128205128205128	0.07312724241271307	TAM	0.1
1	Leave_Choueiri_out	Choueiri	0.3589743589743589	0.14210858585858588	0.2	0.5	-0.10087125544480041	TAM	0.1
2	Leave_Gide_out	Gide	0.4303030303030303	0.4888206211340609	0.34782608695652173	0.3835616438356164	-0.21882958525944335	TAM	0.1
3	Leave_Hugo_out	Hugo	0.6904761904761906	0.7242133019935982	0.56	0.5769230769230769	0.16817499303650435	TAM	0.1
4	Leave_IMVigor210_out	IMVigor210	0.6127237851662404	0.3230066180212102	0.37	0.5771812080536913	0.11073743941058391	TAM	0.1
5	Leave_IMmotion150_out	IMmotion150	0.5183404558404558	0.30142507753216435	0.38596491228070173	0.5757575757575758	0.07626738588707156	TAM	0.1
6	Leave_Kim_out	Kim	0.7424242424242424	0.6022762260554694	0.5	0.6888888888888889	0.2869449118648753	TAM	0.1
7	Leave_Liu_out	Liu	0.4770879526977088	0.4036472297988177	0.425531914893617	0.4953271028037383	-0.011858103292403332	TAM	0.1
8	Leave_MGH_out	MGH	0.6515151515151515	0.5430642230968655	0.4666666666666666	0.5294117647058824	0.07978559231302818	TAM	0.1
9	Leave_Miao_out	Miao	0.5166666666666667	0.27515873015873016	0.3333333333333333	0.5294117647058824	-0.015430334996209192	TAM	0.1
10	Leave_Riaz_out	Riaz	0.47317073170731705	0.1726521475696935	0.23529411764705882	0.49019607843137253	-0.06984302957695782	TAM	0.1
11	Leave_Rose_out	Rose	0.625	0.24917716277210905	0.3773584905660377	0.6292134831460674	0.19878898160823713	TAM	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.5633223684210527	0.4065924100520486	0.41975308641975306	0.5392156862745098	0.0402585363105322	TAM	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.5735294117647058	0.3197244437279267	0.35294117647058826	0.56	0.021437323142813606	TAM	0.1
14	Leave_Snyder_out	Snyder	0.25510204081632654	0.22546859468851949	0.13333333333333333	0.38095238095238093	-0.3466876226407682	TAM	0.1
15	Leave_Zhao_out	Zhao	0.6818181818181819	0.5934074541026413	0.5	0.6	0.17459497553883238	TAM	0.1
