	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.6360946745562132	0.5989337005524582	0.42105263157894735	0.717948717948718	0.30151134457776363
1	Leave_Choueiri_out	Choueiri	0.5897435897435898	0.196031746031746	0.0	0.5625	-0.2773500981126145
2	Leave_Gide_out	Gide	0.7492424242424243	0.8016255085521294	0.6966292134831462	0.6301369863013698	0.24319352181709802
3	Leave_Hugo_out	Hugo	0.5476190476190477	0.6027458842081796	0.41666666666666663	0.46153846153846156	-0.060993754559283325
4	Leave_IMVigor210_out	IMVigor210	0.704923273657289	0.4166799664475247	0.3684210526315789	0.7583892617449665	0.2324592203887831
5	Leave_IMmotion150_out	IMmotion150	0.657051282051282	0.5045917805445361	0.3950617283950617	0.703030303030303	0.2135042050734495
6	Leave_Kim_out	Kim	0.8813131313131313	0.7703848547966196	0.625	0.7333333333333333	0.47193990372426947
7	Leave_Liu_out	Liu	0.720620842572062	0.6371744337828942	0.6301369863013699	0.7476635514018691	0.45086914095072067
8	Leave_MGH_out	MGH	0.696969696969697	0.6101360040996485	0.4827586206896552	0.5588235294117647	0.12309149097933274
9	Leave_Miao_out	Miao	0.5833333333333333	0.5608403361344537	0.5454545454545454	0.7058823529411765	0.3337119062359573
10	Leave_Riaz_out	Riaz	0.7048780487804878	0.28123261245000375	0.4	0.6470588235294118	0.2102413284958751
11	Leave_Rose_out	Rose	0.7097602739726028	0.4053568331896348	0.45714285714285713	0.7865168539325843	0.32735043413094533
12	Leave_SU2CLC1_out	SU2CLC1	0.6632401315789473	0.5471548298894616	0.5567010309278351	0.5784313725490197	0.20612370590992488
13	Leave_SU2CLC2_out	SU2CLC2	0.8014705882352942	0.7214581476530006	0.6153846153846154	0.8	0.5144957554275266
14	Leave_Snyder_out	Snyder	0.5204081632653061	0.427120983346105	0.25	0.7142857142857143	0.31622776601683794
15	Leave_Zhao_out	Zhao	0.6363636363636362	0.6174287657646791	0.39999999999999997	0.64	0.2725597300256653
