	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7810650887573966	0.639801276116936	0.6666666666666666	0.7692307692307693	0.4913538149119954
1	Leave_Choueiri_out	Choueiri	0.6153846153846154	0.22824074074074074	0.25	0.625	0.021591675854376522
2	Leave_Gide_out	Gide	0.8545454545454545	0.885661402578103	0.7816091954022989	0.7397260273972602	0.473995177046051
3	Leave_Hugo_out	Hugo	0.5535714285714286	0.5312287461911522	0.5384615384615384	0.5384615384615384	0.08333333333333333
4	Leave_IMVigor210_out	IMVigor210	0.682608695652174	0.40603445777992025	0.26168224299065423	0.7348993288590604	0.12093249917258453
5	Leave_IMmotion150_out	IMmotion150	0.7273860398860399	0.5704452396780619	0.4615384615384615	0.7454545454545455	0.3208118263409688
6	Leave_Kim_out	Kim	0.8459595959595959	0.6602412632469393	0.47058823529411764	0.8	0.4264014327112209
7	Leave_Liu_out	Liu	0.8085735402808574	0.7763883398256834	0.5714285714285715	0.7476635514018691	0.455213630020856
8	Leave_MGH_out	MGH	0.6704545454545454	0.6477911079336519	0.41379310344827586	0.5	0.0
9	Leave_Miao_out	Miao	0.6499999999999999	0.6552197802197801	0.6	0.7647058823529411	0.43333333333333335
10	Leave_Riaz_out	Riaz	0.7609756097560976	0.35033309032547794	0.4	0.7058823529411765	0.2231518495721684
11	Leave_Rose_out	Rose	0.7345890410958904	0.3548513248886431	0.33333333333333326	0.7303370786516854	0.16855933481944768
12	Leave_SU2CLC1_out	SU2CLC1	0.7146381578947368	0.6296337082216985	0.5934065934065935	0.6372549019607843	0.29445162784640533
13	Leave_SU2CLC2_out	SU2CLC2	0.7205882352941176	0.5330374035579144	0.42857142857142855	0.68	0.21684124109359199
14	Leave_Snyder_out	Snyder	0.6224489795918368	0.3600111256623862	0.0	0.5714285714285714	-0.22941573387056177
15	Leave_Zhao_out	Zhao	0.9025974025974026	0.8498491407582317	0.16666666666666669	0.6	0.23028309323591914
