	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7603550295857988	0.703155021241306	0.5999999999999999	0.6923076923076923	0.36563621206356534
1	Leave_Choueiri_out	Choueiri	0.6666666666666666	0.4858465608465608	0.28571428571428575	0.6875	0.09245003270420485
2	Leave_Gide_out	Gide	0.8416666666666667	0.8845263781177813	0.7391304347826088	0.6712328767123288	0.33483262552040405
3	Leave_Hugo_out	Hugo	0.5178571428571428	0.5021706018823975	0.4799999999999999	0.5	0.012012499502607453
4	Leave_IMVigor210_out	IMVigor210	0.6884910485933505	0.3914979215918223	0.2173913043478261	0.7583892617449665	0.13292008660409899
5	Leave_IMmotion150_out	IMmotion150	0.6978276353276354	0.5176677927127478	0.46464646464646464	0.6787878787878788	0.23573090984799075
6	Leave_Kim_out	Kim	0.8232323232323231	0.6011983889701281	0.26666666666666666	0.7555555555555555	0.24174688920761409
7	Leave_Liu_out	Liu	0.7819660014781966	0.736952960302519	0.7027027027027027	0.794392523364486	0.5558985008797465
8	Leave_MGH_out	MGH	0.7045454545454546	0.6642334227434535	0.5161290322580646	0.5588235294117647	0.1604088343952626
9	Leave_Miao_out	Miao	0.6833333333333332	0.7176739926739926	0.6	0.7647058823529411	0.43333333333333335
10	Leave_Riaz_out	Riaz	0.7634146341463415	0.3343754935444598	0.4615384615384615	0.7254901960784313	0.304696112962334
11	Leave_Rose_out	Rose	0.6626712328767124	0.37457262359428856	0.2631578947368421	0.6853932584269663	0.07087821723234666
12	Leave_SU2CLC1_out	SU2CLC1	0.7125822368421052	0.6212803110333649	0.5617977528089888	0.6176470588235294	0.24333213169614382
13	Leave_SU2CLC2_out	SU2CLC2	0.713235294117647	0.4824578296230773	0.4615384615384615	0.72	0.3001225239993905
14	Leave_Snyder_out	Snyder	0.4693877551020408	0.2905764661403759	0.0	0.5714285714285714	-0.22941573387056177
15	Leave_Zhao_out	Zhao	0.9155844155844155	0.8745399950613855	0.16666666666666669	0.6	0.23028309323591914
